DATASET,fold,AM,alpha,features,accuracy,sensitivity,specificity
tcga.R-BRCA,3,pearson_correlation,0.25,,,,
tcga.R-BRCA,3,pearson_correlation,0.3,,,,
tcga.R-BRCA,3,pearson_correlation,0.35,,,,
tcga.R-BRCA,3,pearson_correlation,0.4,,,,
tcga.R-BRCA,3,pearson_correlation,0.45,,,,
tcga.R-BRCA,3,pearson_correlation,0.5,,,,
tcga.R-BRCA,3,pearson_correlation,0.55,,,,
tcga.R-BRCA,3,pearson_correlation,0.6,"4211,3182,6305,8523,8351,10543,12671,42436,13364,1689,957,15095,11549,14594,24081,6222,13818,17414,3070,22172,22071,700,11232,493,2838,10974,6804,10522,4746,496,14612,15710,9759,275,2095",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,3,pearson_correlation,0.65,"4211,3182,6305,8523,8351,10543,12671,2825,42436,13364,8456,1689,10433,957,15095,11549,14594,24081,3298,6222,7944,13818,17414,3070,22172,22071,700,11232,493,2838,10974,6804,15411,10522,4746,496,14612,15710,10269,9759,275,2095",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,3,pearson_correlation,0.7,"4211,3182,6305,8523,8351,10543,12671,2825,42436,13364,8456,1689,10433,957,15095,11549,14594,24081,3298,6222,7944,13818,17414,3070,22172,22071,700,11232,493,2838,10974,6804,15411,10522,4746,496,14612,15710,10269,2856,9759,275,2095",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,3,pearson_correlation,0.75,"4211,3182,6305,8523,8351,6285,10543,12671,2825,42436,10671,13364,8456,1689,11010,10433,957,15095,151,11549,14594,24081,3298,6222,7944,13818,17414,3070,22172,22071,700,11232,16876,493,13949,2838,10974,6804,15411,10522,4746,496,14612,15710,10269,2856,9759,275,2095",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,3,pearson_correlation,0.8,"4211,3182,6305,8523,8351,6285,10543,12671,2825,42436,10671,13364,8456,1689,11010,10433,957,15095,151,11549,14594,24081,3298,6222,7944,13818,17414,3070,22172,22071,700,11232,16876,493,13949,2570,2838,10974,6804,15411,10522,4746,496,14612,12116,15710,10269,445,2856,9759,275,2095",0.993421052631579,1.0,0.9285714285714286
tcga.R-BRCA,3,pearson_correlation,0.85,"4211,3182,6305,8523,8351,6285,10543,12671,2825,42436,10671,857,13364,8456,1689,11010,10433,957,15095,151,11549,14594,24081,3298,6222,7944,13818,17414,3070,22172,22071,700,11232,16876,493,13949,2570,2838,10974,6804,15411,10522,4746,496,14612,12116,15710,10269,445,2856,9759,275,2095",0.993421052631579,1.0,0.9285714285714286
tcga.R-BRCA,3,pearson_correlation,0.9,"4211,3182,2627,6305,8523,8351,6285,10543,12671,2825,42436,10671,857,13364,8456,1689,11010,10433,957,15095,151,11549,14594,24081,3298,6222,7944,13818,17414,3070,22172,22071,700,11232,16876,493,13949,2570,2838,10974,6804,15411,10522,4746,496,14612,12116,15710,10269,445,2856,9759,275,2095",0.993421052631579,1.0,0.9285714285714286
tcga.R-BRCA,4,pearson_correlation,0.1,,,,
tcga.R-BRCA,4,pearson_correlation,0.15,,,,
tcga.R-BRCA,4,pearson_correlation,0.2,,,,
tcga.R-BRCA,4,pearson_correlation,0.25,,,,
tcga.R-BRCA,4,pearson_correlation,0.3,,,,
tcga.R-BRCA,4,pearson_correlation,0.35,,,,
tcga.R-BRCA,4,pearson_correlation,0.4,,,,
tcga.R-BRCA,4,pearson_correlation,0.45,,,,
tcga.R-BRCA,4,pearson_correlation,0.5,,,,
tcga.R-BRCA,4,pearson_correlation,0.55,,,,
tcga.R-BRCA,4,pearson_correlation,0.6,"1567,7335,4211,857,3182,14065,6285,2825,8523,22071,13818,1980,9511,13364,2917,10671,24081,151,1689,6804,17414,7179,10522,8426,17316,15409,7944,10571,15411,20324,16198,10749,493,2762,2095,6326,22172,4746,1661,1194,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,4,pearson_correlation,0.65,"1567,7335,4211,857,3182,14065,6285,2825,8523,22071,13818,1980,9511,13364,2917,10671,24081,151,1689,6804,17414,7179,10522,8426,17316,15409,7944,10571,15411,20324,16198,11765,10749,493,2762,2095,6326,22172,4746,1661,1194,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,4,pearson_correlation,0.7,"1567,7335,4211,857,3182,14065,6285,2825,8523,22071,13818,1980,9511,13364,2917,10671,24081,151,1689,6804,17414,7179,10522,8426,17316,15409,7944,10571,15411,20324,16198,11765,10749,8456,493,2762,2095,6326,22172,4746,1661,1194,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,4,pearson_correlation,0.75,"1567,7335,4211,857,3182,14065,6285,2825,8523,22071,13818,1980,9511,13364,2917,10671,24081,151,1689,6804,17414,7179,10522,8426,17316,15409,7944,10571,15411,20324,16198,11765,10749,8456,493,20205,2762,2095,6326,22172,4746,1661,1194,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,4,pearson_correlation,0.8,"1567,7335,4211,857,3182,14065,6285,5942,2825,8523,22071,13818,42436,1980,9511,13364,2917,10671,24081,499,11549,151,1689,6804,17414,7179,10522,10433,8426,17316,15409,7944,10571,15411,20324,16198,11765,10749,8456,493,20205,2762,2095,4349,6326,4747,5280,12116,8374,22172,4746,1661,1194,15710,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
