DATASET,fold,AM,alpha,features,accuracy,sensitivity,specificity
MNIST.py,2,PC,0.55,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.976,0.9516129032258065,1.0
MNIST.py,2,PC,0.6,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.976,0.9516129032258065,1.0
MNIST.py,2,PC,0.65,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,2,PC,0.7,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,2,PC,0.75,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,2,PC,0.8,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,2,PC,0.85,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.976,0.9516129032258065,1.0
MNIST.py,2,PC,0.9,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,6,DC,0.1,,,,
MNIST.py,6,DC,0.15,,,,
MNIST.py,6,DC,0.2,,,,
MNIST.py,6,DC,0.25,,,,
