DATASET,AM,alpha,n_1,d,normalise,kernel,k0,fdr,features
brca_cds,TR,0.6,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.65,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.7,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.75,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.8,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.85,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.9,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,MMD,0.1,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,14597,7590,8236,10657,2581,8528,10666,10227,2804,11395,8071,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,6074,5824,2725,10691,3339,4488,1294,8132,2535,2130,9498,2903,3278,14400,9203,1940,1372,6456,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,11540"
brca_cds,MMD,0.15,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,11540"
brca_cds,MMD,0.2,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
