AM,feature,wj
HSIC,11208,4.455987980821533
HSIC,9535,4.156034233015475
HSIC,8923,0.993261048482168
HSIC,8513,6.003333162867193
HSIC,9484,2.389577826704226
HSIC,16001,1.7398781872348081
HSIC,7033,3.056563733098301
HSIC,11989,1.4922950912095985
HSIC,16661,4.494930504381728
HSIC,14457,4.876810778048423
HSIC,7317,1.7904870777762767
HSIC,13654,3.4426421171440325
HSIC,3535,1.3890912780946678
HSIC,6434,1.9476608705138005
HSIC,5396,4.903487414449103
HSIC,14419,1.2271732599137408
HSIC,10680,2.065848028923142
HSIC,4853,0.6646534565566071
HSIC,11175,2.237953260521863
HSIC,1062,1.614357870273011
HSIC,10318,7.6214743013918
HSIC,9301,8.399605712024709
HSIC,6568,4.760295534660543
HSIC,2551,1.1939982266252969
HSIC,15534,3.6303691476440463
HSIC,2547,5.1367000353914705
HSIC,7192,3.9937389954797027
HSIC,9482,2.6541541214282915
HSIC,4458,4.595663312068723
HSIC,17942,5.301310492450568
HSIC,4121,3.864859922396647
HSIC,10822,9.237232614475467
HSIC,14219,2.5902866643633615
HSIC,15799,5.295321983109716
HSIC,7370,-1.4202244466271736
HSIC,15312,0.2793512228432746
HSIC,12162,1.810067826482964
HSIC,11189,0.03749817996265392
HSIC,9997,0.6062364186776108
HSIC,4506,2.4958467654147967
HSIC,14182,0.5545767319006245
HSIC,1978,1.6558032961769982
HSIC,11148,2.397816062192078
HSIC,9180,1.3979542612486853
HSIC,6044,1.4861498994718545
HSIC,8965,4.352630204224113
HSIC,14831,-1.2746841220366605
HSIC,11628,3.1102280713615755
HSIC,11725,7.3926173107332716
HSIC,6540,1.9416659494564783
HSIC,3166,1.788251089657365
HSIC,6807,0.9927107902615262
HSIC,14060,8.013673215959102
HSIC,18215,0.6118122606619636
HSIC,8366,-0.044411847364642654
HSIC,14333,2.251704104451562
HSIC,9453,7.305769177179968
HSIC,1401,2.63440347926354
HSIC,924,2.628875711152318
HSIC,9528,5.1654621701679275
HSIC,16480,1.3267658966494196
HSIC,16249,1.4926736149538442
HSIC,18775,1.6090482813254425
HSIC,9654,2.1838611105071095
HSIC,5749,4.337876732341613
HSIC,2563,0.34840352307406874
HSIC,7871,3.344719213740177
HSIC,9483,-2.1410020170637267
HSIC,13697,1.4530444100071236
HSIC,14865,1.3612603377849837
HSIC,7035,3.848949059202255
HSIC,7234,5.5606217124487785
HSIC,12259,-1.8633366333592676
HSIC,1554,5.675855661734204
HSIC,9222,-2.5437125714000786
HSIC,2938,1.766292873807913
HSIC,3450,4.78624418771642
HSIC,3165,0.958106273546548
HSIC,15019,1.173494847290371
HSIC,18122,0.7547749141825193
HSIC,16605,3.399570883076194
HSIC,2432,2.6880568013268658
HSIC,11985,6.737181705645611
HSIC,9300,2.7271129823967613
HSIC,11346,5.000034790228938
HSIC,2793,0.852753225655988
HSIC,9512,2.123978681291419
HSIC,10706,5.84625439545249
HSIC,15527,1.1175789337602282
HSIC,15377,5.5268080249862805
HSIC,12862,3.5730533817740877
HSIC,1352,4.825453071094216
HSIC,7882,-0.1798410836952371
HSIC,3176,4.845763174902004
HSIC,4228,2.1802687059248456
HSIC,16611,5.419428744115976
HSIC,2051,3.124041777999878
HSIC,9531,1.982839131610433
HSIC,325,-0.3895653589000858
HSIC,10872,3.4677907110972797
